Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
Robindale Wastewater Treatment Plant	2	3208 Robindale Road	Brownsville	TX	78521	25.939204	-97.447349	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
"Tex-Mex Cold Storage, Inc."	3	6665 E. 14th Street	Brownsville	TX	78521	25.939204	-97.447349	0	2	Public OCA Chemical; Ammonia (anhydrous)
North District Wastewater Treatment Plant	3	2575 NE 156 Street	North Miami	FL	33160	25.940364	-80.139706	0	2	Public OCA Chemical; Chlorine
"Borden Dairy Company of Florida, LLC"	3	501 NE 181st St.	North Miami Beach	FL	33162	25.94233283	-80.19082588	0	2	Public OCA Chemical; Ammonia (anhydrous)
"Southeast Frozen Foods-N. Miami, FL"	3	18770 Northeast 6th Ave.	North Miami Beach	FL	33179	25.94835303	-80.19020811	1	2	Public OCA Chemical; Ammonia (anhydrous)
Pembroke Pines Water Treatment Plant	2	7960 Johnson Street	Pembroke Pines	FL	33024	26.01619687	-80.24695854	0	2	Public OCA Chemical; Chlorine
Southern Regional WWTP	3	1621 N 14th Avenue	Hollywood	FL	33022	26.02642777	-80.13375117	0	2	Public OCA Chemical; Chlorine
Reddy Ice-Davie (341)	3	5050 SW 51st Street	Davie	FL	33314	26.05849447	-80.2138464	0	2	Public OCA Chemical; Ammonia (anhydrous)
"Texas Pack, Inc."	3	508 Port Road	Port Isabel	TX	78578	26.06865758	-97.21853666	0	2	Public OCA Chemical; Ammonia (anhydrous)
Port Isabel Water Treatment Plant	2	247 Woody Lane Avenue	Port Isabel	TX	78578	26.084744	-97.24158	0	2	Public OCA Chemical; Chlorine
Laguna Vista Water Treatment Plant	2	1 1/2 Mile West of Laguna Vista	Laguna Vista	TX	78578	26.084744	-97.24158	0	2	Public OCA Chemical; Chlorine
Port Isabel Wastewater Treatment Plant	2	634 Woody Lane Avenue	Port Isabel	TX	78578	26.084744	-97.24158	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Port Everglades Terminal	3	800 SE 28th St.	Fort Lauderdale	FL	33316	26.08866827	-80.15089473	0	2	Public OCA Chemical; Propane
George T. Lohmeyer Wastewater Treatment Plant	3	1765 S.E. 18th Street	Fort Lauderdale	FL	33316	26.09898706	-80.12674889	0	2	Public OCA Chemical; Chlorine
Isla Blanca Wastewater Treatment Plant	2	Channelview Street	South Padre Island	TX	78597	26.10955	-97.168003	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
Laguna Vista Wastewater Treatment Plant	2	30448 Holly Beach Rd	Laguna Vista	TX	78578	26.12111629	-97.31269968	0	2	Public OCA Chemical; Chlorine
City of Naples Wastewater Treatment Facility	3	1400 3rd Ave. North	Naples	FL	34102	26.12937368	-81.80169449	0	2	Public OCA Chemical; Chlorine
City of San Benito	2	420 W Stenger Rd	San Benito	TX	78586	26.135105	-97.63451142	0	2	Public OCA Chemical; Chlorine
Andy Bowie Wastewater Treatment Plant	2	6701 Padre Blvd.	South Padre Island	TX	78597	26.14278379	-97.17219584	0	2	Public OCA Chemical; Chlorine
City of Mercedes Water Filtration Plant	3	208 South Illinios	Mercedes	TX	78570	26.14888974	-97.91094227	0	2	Public OCA Chemical; Chlorine
Lauderhill Water Treatment Plant	2	2101 N.W. 49th Avenue	Lauderhill	FL	33313	26.152305	-80.21816269	0	2	Public OCA Chemical; Chlorine
Millard Refrigerated Services	3	6800 South Ware Road	McAllen	TX	78503	26.15265008	-98.270492	0	2	Public OCA Chemical; Ammonia (anhydrous)
